Region,K,BIC,Silhouette,BIC_Decrease_vs_Previous_K,Selected_BIC_Elbow,BIC_Global_Minimum,Silhouette_Maximum
t,2,407029.45202616043,0.25871536089818775,,False,False,True
t,3,338674.70210819354,0.23385630431541662,68354.7499179669,False,False,False
t,4,281937.3704210467,0.24866166642576573,56737.331687146856,True,False,False
t,5,268809.97799566924,0.15836601007756793,13127.392425377446,False,False,False
t,6,257938.70612459932,-0.009379346351252227,10871.271871069912,False,False,False
t,7,247544.55940755512,-0.007635167460898437,10394.146717044205,False,False,False
t,8,243437.99294401018,-0.019323343482930938,4106.566463544936,False,True,False
p2,2,406334.44223802065,0.4547168865178162,,False,False,True
p2,3,376612.90645254776,0.26556928883446135,29721.535785472894,False,False,False
p2,4,288467.3230635271,0.32986751620155735,88145.58338902064,True,False,False
p2,5,264300.1213884483,0.23664522239578192,24167.20167507883,False,False,False
p2,6,253884.1436978887,0.20020473076812811,10415.977690559579,False,False,False
p2,7,248973.14625919156,0.159900754856668,4910.997438697144,False,False,False
p2,8,237894.00672853916,0.05487570536350594,11079.139530652406,False,True,False
p3,2,341241.5265563426,0.44472338041135134,,False,False,True
p3,3,316402.9980662936,0.3211444218387543,24838.528490049008,False,False,False
p3,4,206800.3597335793,0.4222236174953184,109602.6383327143,True,False,False
p3,5,185954.6612247235,0.2820759036362483,20845.6985088558,False,False,False
p3,6,177159.93738621345,0.15265031312891034,8794.72383851005,False,False,False
p3,7,168966.03356666057,0.1396473409388003,8193.903819552885,False,True,False
p3,8,171840.98643290214,0.1539525671430423,-2874.9528662415687,False,False,False
p4,2,250795.3196894698,0.5366084075858283,,False,False,True
p4,3,218390.941634431,0.45860292239177086,32404.378055038804,False,False,False
p4,4,197637.32453829396,0.44158282911890573,20753.617096137023,True,False,False
p4,5,177869.3557115916,0.29677558969962936,19767.96882670236,False,False,False
p4,6,173006.94778804263,0.281558073264899,4862.407923548977,False,False,False
p4,7,164737.8574610314,0.22209646802511343,8269.090327011218,False,False,False
p4,8,160334.58515978997,0.17644803482407756,4403.272301241435,False,True,False
